,label
290447,positive
89730,positive
237876,positive
415715,positive
255762,positive
306206,positive
149329,positive
321087,positive
208746,positive
487662,positive
308059,positive
162316,positive
95467,positive
10877,positive
191506,positive
439216,positive
274453,positive
392388,positive
64784,positive
492047,positive
329370,positive
485784,positive
16294,positive
286775,positive
396692,positive
194683,positive
489512,positive
266040,positive
87644,positive
44906,positive
247516,positive
299194,positive
411601,positive
260926,positive
104741,positive
150697,positive
51290,positive
62993,positive
14138,positive
369864,positive
292093,positive
304494,positive
256719,positive
188382,positive
395055,positive
134113,positive
83325,positive
28270,positive
117007,positive
394699,positive
458579,positive
255280,positive
157964,positive
91328,positive
462685,positive
334794,positive
165063,positive
378292,positive
221540,positive
111228,positive
372788,positive
252338,positive
383987,positive
163480,positive
18289,positive
479188,positive
162115,positive
313859,positive
40737,positive
290812,positive
214632,positive
125962,positive
239086,positive
284113,positive
370186,positive
205130,positive
371841,positive
472862,positive
220523,positive
53450,positive
157478,positive
222953,positive
54427,positive
369951,positive
482400,positive
57859,positive
378798,positive
303419,positive
258543,positive
403585,positive
202509,positive
50132,positive
285444,positive
51636,positive
214147,positive
245605,positive
70489,positive
409975,positive
263182,positive
288264,positive
107190,positive
352576,positive
73437,positive
64620,positive
378864,positive
65477,positive
224449,positive
488527,positive
490070,positive
166055,positive
101044,positive
6773,positive
362034,positive
484876,positive
87654,positive
304536,positive
17489,positive
286829,positive
473012,positive
207305,positive
3048,positive
105886,positive
53119,positive
362140,positive
165066,positive
13466,positive
484746,positive
237721,positive
293726,positive
435313,positive
215965,positive
44247,positive
113301,positive
214828,positive
399976,positive
414787,positive
97757,positive
67654,positive
450153,positive
294110,positive
442612,positive
231113,positive
363654,positive
228808,positive
100981,positive
264913,positive
307998,positive
165755,positive
114243,positive
253075,positive
302084,positive
40947,positive
299929,positive
281748,positive
348757,positive
278644,positive
7394,positive
275516,positive
153562,positive
19560,positive
442476,positive
215961,positive
17108,positive
250803,positive
23974,positive
247580,positive
407209,positive
316831,positive
101649,positive
356801,positive
407869,positive
246272,positive
317108,positive
472492,positive
427911,positive
492164,positive
191018,positive
326587,positive
107314,positive
49371,positive
89088,positive
385407,positive
324720,positive
155504,positive
440388,positive
220521,positive
55300,positive
442031,positive
446911,positive
119686,positive
360655,positive
324569,positive
217838,positive
234771,positive
82595,positive
111186,positive
274389,positive
74756,positive
363525,positive
286018,positive
341541,positive
405484,positive
240801,positive
394329,positive
355528,positive
424985,positive
287863,positive
290709,positive
137839,positive
341976,positive
250290,positive
356532,positive
139364,positive
372912,positive
242789,positive
205105,positive
1293,positive
216731,positive
42738,positive
412317,positive
290240,positive
229770,positive
340713,positive
255052,positive
359445,positive
336221,positive
370906,positive
43634,positive
5920,positive
88941,positive
26347,positive
172579,positive
89137,positive
263249,positive
141516,positive
343491,positive
127895,positive
302532,positive
336768,positive
135966,positive
95686,positive
461325,positive
348372,positive
462687,positive
12920,positive
276298,positive
68982,positive
360720,positive
470752,positive
402709,positive
59657,positive
318188,positive
150486,positive
432979,positive
233166,positive
175489,positive
235017,positive
242333,positive
355126,positive
305725,positive
28085,positive
274826,positive
335017,positive
76734,positive
483746,positive
25587,positive
415289,positive
157023,positive
289715,positive
151815,positive
165537,positive
402625,positive
185592,positive
439439,positive
